Date,Station,DayOfWeek,Passengers
2024-09-23,Yeouido,금,3749
2024-04-14,Yeouido,수,2460
2024-06-04,Gangnam,일,3134
2024-04-02,City Hall,토,2818
2024-02-19,Gangnam,수,3618
2024-09-25,Hongdae,화,4319
2024-04-08,City Hall,목,4871
2024-11-04,Dongdaemun,월,3443
2024-06-24,Gwanghwamun,목,3026
2024-07-29,Gangnam,목,2642
2024-02-09,Gangnam,토,3446
2024-02-06,Samseong,수,4700
2024-08-28,Yeouido,일,4573
2024-09-18,Jamsil,수,4317
2024-11-07,Dongdaemun,금,1307
2024-10-21,Jamsil,월,4346
2024-09-29,Yeouido,수,3123
2024-09-20,City Hall,금,2164
2024-05-29,Gangnam,월,3536
2024-07-19,Yeouido,수,3063
2024-03-11,Gangnam,목,3890
2024-10-31,Hongdae,목,874
2024-02-17,Gwanghwamun,월,2312
2024-05-02,Yeouido,월,1695
2024-04-07,Seoul Station,수,632
2024-06-11,Dongdaemun,일,2636
2024-07-18,Gwanghwamun,수,3920
2024-06-25,Yeouido,월,2918
2024-08-01,Seoul Station,토,1748
2024-03-08,Seoul Station,일,2107
2024-03-27,Dongdaemun,일,3202
2024-08-08,Yeouido,월,2384
2024-03-21,Gwanghwamun,금,3611
2024-09-08,Samseong,금,2513
2024-07-27,City Hall,금,4590
2024-05-20,Seoul Station,목,3265
2024-06-21,Jamsil,목,2608
2024-11-17,Yeouido,금,4502
2024-09-11,Samseong,금,4518
2024-03-08,Samseong,일,4275
2024-03-08,Samseong,토,1878
2024-08-04,Hongdae,월,3385
2024-11-07,Gwanghwamun,목,1886
2024-11-28,Seoul Station,일,1646
2024-07-25,Yeouido,금,4977
2024-03-12,Samseong,토,4500
2024-05-24,City Hall,화,2007
2024-03-14,City Hall,수,4941
2024-10-13,Itaewon,금,981
2024-11-16,Samseong,목,4792
2024-01-25,City Hall,금,777
2024-12-26,Jamsil,화,1108
2024-05-27,Seoul Station,월,897
2024-11-22,Gwanghwamun,목,552
2024-06-19,Gwanghwamun,월,3878
2024-12-06,Jamsil,일,1626
2024-09-11,Yeouido,일,2395
2024-08-18,City Hall,수,1056
2024-07-05,Gangnam,토,1737
2024-10-12,City Hall,월,574
2024-07-30,Dongdaemun,금,2291
2024-02-06,Itaewon,토,4642
2024-05-17,Jamsil,화,4235
2024-12-21,Jamsil,월,3557
2024-01-31,Jamsil,화,995
2024-09-03,Gangnam,토,4458
2024-11-11,Dongdaemun,목,4496
2024-07-28,Itaewon,목,628
2024-08-12,Samseong,금,554
2024-02-14,Samseong,금,4859
2024-03-24,Yeouido,금,3869
2024-03-24,Jamsil,화,597
2024-10-13,Itaewon,수,637
2024-08-04,Yeouido,수,4836
2024-09-25,Jamsil,수,2750
2024-10-16,Jamsil,목,4888
2024-05-07,Seoul Station,목,2848
2024-09-03,Jamsil,일,640
2024-11-09,City Hall,수,4614
2024-07-08,Gangnam,토,4027
2024-12-26,Gangnam,금,1968
2024-07-04,Yeouido,월,1376
2024-07-06,City Hall,일,1289
2024-08-30,Gwanghwamun,토,4795
2024-09-19,Gangnam,토,1719
2024-03-12,Gwanghwamun,수,2474
2024-12-22,Dongdaemun,월,2072
2024-07-28,City Hall,수,4812
2024-06-12,Gwanghwamun,월,2567
2024-12-30,Seoul Station,금,3403
2024-10-07,Itaewon,토,2689
2024-08-17,Samseong,목,3751
2024-08-19,Jamsil,수,1147
2024-02-24,Samseong,수,3556
2024-04-08,Yeouido,토,3826
2024-11-19,Seoul Station,일,4260
2024-02-24,Gangnam,토,2492
2024-12-03,Yeouido,금,2350
2024-08-04,Yeouido,일,2957
2024-04-26,Samseong,화,1160
2024-09-10,City Hall,수,759
2024-07-13,Gangnam,월,1265
2024-07-12,Yeouido,금,3820
2024-09-28,Jamsil,토,3606
2024-09-11,Gangnam,화,3589
2024-07-18,Itaewon,수,4399
2024-09-28,City Hall,수,959
2024-07-26,Dongdaemun,토,577
2024-04-29,Gangnam,토,1903
2024-05-09,Gwanghwamun,토,1177
2024-03-09,Yeouido,목,4594
2024-02-02,Gwanghwamun,화,4054
2024-10-07,City Hall,금,3213
2024-11-30,Seoul Station,토,1281
2024-01-30,Gwanghwamun,월,4826
2024-08-20,Yeouido,수,848
2024-11-13,Jamsil,금,2382
2024-06-04,Jamsil,목,2231
2024-09-05,Yeouido,토,4395
2024-02-28,Samseong,일,2720
2024-01-28,City Hall,수,881
2024-06-27,Samseong,일,1109
2024-05-03,Yeouido,화,2796
2024-09-12,Itaewon,토,4948
2024-06-14,Yeouido,토,769
2024-12-20,Dongdaemun,일,1969
2024-05-24,Dongdaemun,토,3076
2024-05-25,Samseong,토,628
2024-07-10,Samseong,금,2197
2024-02-28,City Hall,월,1681
2024-02-06,Jamsil,토,3762
2024-12-24,Seoul Station,토,1130
2024-04-21,Itaewon,목,2951
2024-03-13,Hongdae,금,1830
2024-10-10,Jamsil,수,2469
2024-11-08,Yeouido,월,3687
2024-10-05,Seoul Station,수,4928
2024-05-04,City Hall,수,3217
2024-11-01,Gangnam,화,3644
2024-04-06,Jamsil,화,1646
2024-11-25,Jamsil,수,1142
2024-11-09,Seoul Station,일,4602
2024-04-24,Yeouido,목,3333
2024-08-24,Jamsil,화,939
2024-02-23,Seoul Station,화,1300
2024-02-01,Gwanghwamun,화,4080
2024-01-20,Samseong,화,2401
2024-07-21,Dongdaemun,월,1122
2024-12-17,Samseong,수,3290
2024-08-16,Yeouido,일,3749
2024-12-13,Gwanghwamun,일,3173
2024-10-30,Jamsil,월,742
2024-05-09,Itaewon,금,2739
2024-05-31,Samseong,일,4190
2024-03-02,City Hall,금,4519
2024-08-06,Samseong,일,2368
2024-07-06,Hongdae,토,3414
2024-06-01,Itaewon,금,3575
2024-03-25,Hongdae,월,4037
2024-06-25,Hongdae,토,2021
2024-10-19,City Hall,수,3613
2024-10-09,Gwanghwamun,일,1202
2024-06-01,Hongdae,금,2919
2024-10-20,Itaewon,화,2518
2024-04-06,Samseong,금,1102
2024-06-10,Yeouido,목,1172
2024-12-21,Itaewon,화,2695
2024-05-20,Dongdaemun,화,1763
2024-06-27,Seoul Station,화,3612
2024-12-09,Samseong,일,1763
2024-01-10,City Hall,토,3691
2024-01-11,Hongdae,일,3094
2024-03-13,Yeouido,금,3454
2024-08-05,Hongdae,일,1372
2024-04-11,City Hall,화,1249
2024-03-14,Itaewon,토,542
2024-10-07,Dongdaemun,목,3025
2024-05-11,Seoul Station,월,4143
2024-03-18,Dongdaemun,목,3448
2024-10-02,Samseong,수,2709
2024-11-07,Itaewon,토,1337
2024-11-02,Seoul Station,토,1585
2024-05-16,Gangnam,화,1215
2024-05-07,Dongdaemun,목,2035
2024-03-07,Hongdae,금,4030
2024-01-20,Jamsil,수,4176
2024-01-01,Samseong,일,4697
2024-09-08,Samseong,토,3842
2024-09-30,Seoul Station,일,1346
2024-03-13,Gangnam,목,715
2024-01-20,Yeouido,화,1234
2024-07-07,Dongdaemun,금,3399
2024-04-29,Gwanghwamun,화,1262
2024-12-29,Yeouido,수,3157
2024-12-04,Samseong,일,3655
2024-01-03,Samseong,일,601
2024-11-03,City Hall,목,2890
2024-10-04,Seoul Station,일,3889
2024-07-29,Jamsil,화,3676
2024-05-16,Gangnam,수,1193
2024-07-26,Gwanghwamun,토,2488
2024-09-14,Yeouido,금,4768
2024-10-20,Dongdaemun,목,1889
2024-07-03,Seoul Station,목,3618
2024-05-23,Dongdaemun,일,1888
2024-02-08,Itaewon,수,1637
2024-06-27,City Hall,일,2702
2024-01-15,Gangnam,목,2966
2024-04-30,City Hall,금,2698
2024-05-12,Samseong,금,4539
2024-06-23,City Hall,목,1695
2024-04-24,Gwanghwamun,화,1018
2024-06-09,Samseong,일,1869
2024-02-21,Yeouido,화,4060
2024-07-04,Dongdaemun,일,2760
2024-01-01,Yeouido,금,3949
2024-04-01,Itaewon,화,2955
2024-06-15,Samseong,일,4466
2024-08-05,Samseong,수,1130
2024-01-19,Gangnam,월,3458
2024-05-25,Samseong,토,2561
2024-04-11,Dongdaemun,목,2520
2024-08-23,Gwanghwamun,일,4561
2024-04-30,Itaewon,수,2101
2024-09-06,Gangnam,금,4250
2024-02-17,Jamsil,월,1376
2024-07-13,Dongdaemun,토,1609
2024-08-24,Gwanghwamun,일,2995
2024-08-09,City Hall,금,555
2024-05-23,Yeouido,일,3741
2024-10-31,Itaewon,월,3221
2024-08-23,Hongdae,수,3612
2024-09-29,Dongdaemun,월,3199
2024-12-27,Yeouido,일,4106
2024-04-10,Seoul Station,화,3242
