Region,Product,Price,Quantity,Date
West,Product C,30,17,2025-04-01
South,Product D,90,13,2025-04-02
East,Product D,31,18,2025-04-03
West,Product A,57,5,2025-04-04
West,Product A,46,3,2025-04-05
East,Product B,24,11,2025-04-06
South,Product D,44,13,2025-04-07
East,Product B,80,4,2025-04-08
West,Product A,41,14,2025-04-09
North,Product B,20,11,2025-04-10
North,Product A,19,10,2025-04-11
East,Product D,82,19,2025-04-12
West,Product C,87,18,2025-04-13
North,Product D,86,6,2025-04-14
West,Product B,66,15,2025-04-15
East,Product B,34,10,2025-04-16
North,Product D,11,5,2025-04-17
West,Product D,73,5,2025-04-18
North,Product A,44,10,2025-04-19
East,Product B,16,5,2025-04-20
West,Product B,94,3,2025-04-21
North,Product D,27,6,2025-04-22
East,Product C,76,4,2025-04-23
North,Product B,51,18,2025-04-24
North,Product C,48,9,2025-04-25
South,Product D,50,17,2025-04-26
South,Product D,84,13,2025-04-27
East,Product A,33,15,2025-04-28
South,Product B,69,17,2025-04-29
East,Product C,55,13,2025-04-30
South,Product A,28,16,2025-05-01
North,Product B,77,4,2025-05-02
East,Product A,99,5,2025-05-03
East,Product D,51,5,2025-05-04
North,Product B,41,9,2025-05-05
East,Product A,48,17,2025-05-06
East,Product A,45,13,2025-05-07
South,Product C,45,2,2025-05-08
East,Product A,12,13,2025-05-09
West,Product B,82,19,2025-05-10
North,Product B,17,3,2025-05-11
South,Product C,79,10,2025-05-12
South,Product B,50,2,2025-05-13
West,Product D,77,13,2025-05-14
North,Product B,22,19,2025-05-15
North,Product B,58,17,2025-05-16
South,Product A,69,14,2025-05-17
East,Product A,11,12,2025-05-18
South,Product B,69,12,2025-05-19
North,Product C,14,11,2025-05-20
West,Product A,53,7,2025-05-21
South,Product C,36,4,2025-05-22
North,Product B,41,19,2025-05-23
South,Product B,30,1,2025-05-24
East,Product D,17,3,2025-05-25
South,Product A,81,13,2025-05-26
South,Product B,59,15,2025-05-27
North,Product D,76,2,2025-05-28
North,Product A,53,11,2025-05-29
North,Product B,67,4,2025-05-30
South,Product B,12,19,2025-05-31
East,Product A,95,17,2025-06-01
West,Product A,79,3,2025-06-02
West,Product A,11,18,2025-06-03
North,Product B,96,8,2025-06-04
North,Product B,53,19,2025-06-05
South,Product D,11,5,2025-06-06
West,Product C,90,7,2025-06-07
North,Product A,44,8,2025-06-08
East,Product B,96,5,2025-06-09
East,Product B,39,17,2025-06-10
North,Product A,17,5,2025-06-11
North,Product C,31,4,2025-06-12
West,Product A,53,19,2025-06-13
West,Product C,67,2,2025-06-14
South,Product B,45,11,2025-06-15
West,Product C,78,13,2025-06-16
East,Product D,86,15,2025-06-17
East,Product B,40,12,2025-06-18
North,Product D,56,11,2025-06-19
West,Product A,64,7,2025-06-20
South,Product A,89,5,2025-06-21
East,Product A,71,17,2025-06-22
East,Product C,39,9,2025-06-23
South,Product B,64,14,2025-06-24
South,Product A,25,12,2025-06-25
East,Product A,21,6,2025-06-26
East,Product B,26,17,2025-06-27
South,Product A,25,19,2025-06-28
East,Product D,21,19,2025-06-29
North,Product B,17,16,2025-06-30
North,Product B,93,12,2025-07-01
South,Product B,12,12,2025-07-02
West,Product D,25,6,2025-07-03
South,Product B,39,4,2025-07-04
South,Product D,32,6,2025-07-05
West,Product B,14,11,2025-07-06
West,Product C,93,1,2025-07-07
West,Product A,74,15,2025-07-08
North,Product C,39,11,2025-07-09
East,Product A,30,19,2025-07-10
North,Product D,93,18,2025-07-11
East,Product C,79,17,2025-07-12
North,Product B,31,19,2025-07-13
East,Product A,91,14,2025-07-14
North,Product A,81,18,2025-07-15
West,Product C,41,19,2025-07-16
South,Product D,42,15,2025-07-17
North,Product C,25,15,2025-07-18
East,Product D,85,4,2025-07-19
West,Product D,47,7,2025-07-20
North,Product A,23,13,2025-07-21
North,Product C,45,3,2025-07-22
West,Product C,32,16,2025-07-23
North,Product D,75,9,2025-07-24
South,Product C,94,8,2025-07-25
North,Product B,11,13,2025-07-26
South,Product B,82,17,2025-07-27
South,Product C,74,17,2025-07-28
West,Product C,84,17,2025-07-29
North,Product D,76,1,2025-07-30
West,Product B,61,8,2025-07-31
North,Product B,71,19,2025-08-01
North,Product A,32,6,2025-08-02
East,Product D,35,3,2025-08-03
North,Product A,77,5,2025-08-04
West,Product B,91,13,2025-08-05
South,Product D,64,15,2025-08-06
North,Product C,15,14,2025-08-07
East,Product D,44,16,2025-08-08
West,Product C,31,18,2025-08-09
North,Product C,52,11,2025-08-10
West,Product D,24,3,2025-08-11
East,Product C,95,10,2025-08-12
East,Product A,69,10,2025-08-13
West,Product B,21,16,2025-08-14
North,Product C,58,12,2025-08-15
South,Product A,51,2,2025-08-16
East,Product C,47,9,2025-08-17
North,Product B,91,3,2025-08-18
North,Product A,54,15,2025-08-19
South,Product B,44,3,2025-08-20
East,Product B,39,19,2025-08-21
East,Product A,97,18,2025-08-22
North,Product A,39,8,2025-08-23
North,Product A,87,17,2025-08-24
South,Product D,15,8,2025-08-25
South,Product A,76,7,2025-08-26
East,Product A,89,7,2025-08-27
West,Product A,16,3,2025-08-28
East,Product A,61,1,2025-08-29
North,Product C,23,4,2025-08-30
East,Product D,82,5,2025-08-31
West,Product B,24,1,2025-09-01
South,Product A,30,15,2025-09-02
West,Product C,44,5,2025-09-03
West,Product C,75,13,2025-09-04
West,Product C,11,8,2025-09-05
South,Product B,44,8,2025-09-06
West,Product A,91,5,2025-09-07
West,Product D,87,9,2025-09-08
West,Product D,29,1,2025-09-09
North,Product C,91,4,2025-09-10
West,Product B,19,3,2025-09-11
South,Product B,34,2,2025-09-12
West,Product B,75,8,2025-09-13
West,Product D,34,9,2025-09-14
South,Product C,63,2,2025-09-15
West,Product A,42,14,2025-09-16
South,Product D,45,14,2025-09-17
West,Product C,23,4,2025-09-18
South,Product C,74,6,2025-09-19
West,Product A,89,11,2025-09-20
West,Product A,63,3,2025-09-21
North,Product A,61,8,2025-09-22
North,Product B,12,3,2025-09-23
West,Product A,50,14,2025-09-24
West,Product C,15,13,2025-09-25
East,Product A,34,13,2025-09-26
